,open,high,low,close
2015-10-09 00:00:00+00:00,110.0,112.28,109.5,112.12
2015-10-12 00:00:00+00:00,112.75,112.75,108.99,111.58
2015-10-13 00:00:00+00:00,110.82,112.45,110.68,111.79
2015-10-14 00:00:00+00:00,111.28,111.53,109.56,110.21
2015-10-15 00:00:00+00:00,110.94,120.07,110.49,111.85
2015-10-16 00:00:00+00:00,111.78,112.0,110.53,111.02
2015-10-19 00:00:00+00:00,110.93,111.75,110.11,111.73
2015-10-20 00:00:00+00:00,111.35,114.17,110.82,113.79
2015-10-21 00:00:00+00:00,113.96,115.58,113.7,113.76
2015-10-22 00:00:00+00:00,114.33,115.52,114.1,115.5
2015-10-23 00:00:00+00:00,116.7,119.23,116.33,119.09
2015-10-26 00:00:00+00:00,118.08,118.13,114.32,115.27
2015-10-27 00:00:00+00:00,115.42,116.54,113.99,114.59
2015-10-28 00:00:00+00:00,116.93,119.3,116.06,119.3
2015-10-29 00:00:00+00:00,118.68,120.69,118.27,120.53
2015-10-30 00:00:00+00:00,121.0,121.22,111.55,119.5
2015-11-02 00:00:00+00:00,119.83,121.36,119.61,121.18
2015-11-03 00:00:00+00:00,120.77,123.49,120.7,122.59
2015-11-04 00:00:00+00:00,123.13,123.82,121.62,122.01
2015-11-05 00:00:00+00:00,121.85,122.69,120.18,120.91
2015-11-06 00:00:00+00:00,121.15,121.81,120.62,121.06
2015-11-09 00:00:00+00:00,120.75,121.81,120.05,120.57
2015-11-10 00:00:00+00:00,116.96,118.07,116.06,116.78
2015-11-11 00:00:00+00:00,116.38,117.42,115.21,116.11
2015-11-12 00:00:00+00:00,116.38,116.82,115.65,115.74
2015-11-13 00:00:00+00:00,115.24,115.56,112.27,112.33
2015-11-16 00:00:00+00:00,111.41,116.15,111.0,114.18
2015-11-17 00:00:00+00:00,114.74,120.49,113.32,113.71
2015-11-18 00:00:00+00:00,115.77,117.49,115.5,117.28
2015-11-19 00:00:00+00:00,117.68,119.75,116.76,118.77
2015-11-20 00:00:00+00:00,119.2,119.92,118.85,119.3
2015-11-23 00:00:00+00:00,119.27,119.73,117.34,117.75
2015-11-24 00:00:00+00:00,117.33,119.35,117.12,118.91
2015-11-25 00:00:00+00:00,119.16,119.24,117.92,118.06
2015-11-27 00:00:00+00:00,118.14,118.8,117.6,117.7
2015-11-30 00:00:00+00:00,117.75,119.42,117.75,118.37
2015-12-01 00:00:00+00:00,118.75,118.81,116.86,117.29
2015-12-02 00:00:00+00:00,117.01,118.11,116.08,116.3
2015-12-03 00:00:00+00:00,116.49,116.79,114.22,115.17
2015-12-04 00:00:00+00:00,115.17,119.25,115.11,119.0
2015-12-07 00:00:00+00:00,118.92,119.86,117.81,118.27
2015-12-08 00:00:00+00:00,117.4,118.6,116.86,118.24
2015-12-09 00:00:00+00:00,117.51,121.23,115.07,115.63
2015-12-10 00:00:00+00:00,116.3,117.96,115.52,116.15
2015-12-11 00:00:00+00:00,115.21,115.39,112.85,113.18
2015-12-14 00:00:00+00:00,111.99,112.68,109.79,112.47
2015-12-15 00:00:00+00:00,111.94,112.8,110.35,110.5
2015-12-16 00:00:00+00:00,111.01,111.99,108.8,111.33
2015-12-17 00:00:00+00:00,112.16,116.51,108.99,109.0
2015-12-18 00:00:00+00:00,108.91,109.52,105.81,105.84
2015-12-21 00:00:00+00:00,107.2,107.75,105.57,107.3
2015-12-22 00:00:00+00:00,107.33,111.34,106.45,107.22
2015-12-23 00:00:00+00:00,107.27,108.85,107.16,108.62
2015-12-24 00:00:00+00:00,108.75,109.0,107.95,108.03
2015-12-28 00:00:00+00:00,107.64,110.49,106.18,106.81
2015-12-29 00:00:00+00:00,106.96,109.43,106.86,108.74
2015-12-30 00:00:00+00:00,108.58,108.77,107.18,107.31
2015-12-31 00:00:00+00:00,107.12,107.12,104.82,105.23
2016-01-04 00:00:00+00:00,102.61,105.37,102.0,105.34
2016-01-05 00:00:00+00:00,105.6,105.85,102.41,102.71
2016-01-06 00:00:00+00:00,100.56,104.14,99.87,100.7
2016-01-07 00:00:00+00:00,98.63,104.09,96.43,96.44
2016-01-08 00:00:00+00:00,98.44,99.11,96.76,96.98
2016-01-11 00:00:00+00:00,99.03,99.06,97.34,98.53
2016-01-12 00:00:00+00:00,100.55,100.69,98.83,99.96
2016-01-13 00:00:00+00:00,100.32,101.19,97.3,97.41
2016-01-14 00:00:00+00:00,97.96,100.48,95.74,99.52
2016-01-15 00:00:00+00:00,96.2,99.09,95.36,97.08
2016-01-19 00:00:00+00:00,98.41,98.65,95.46,96.67
2016-01-20 00:00:00+00:00,95.16,98.19,93.42,96.8
2016-01-21 00:00:00+00:00,97.06,97.88,94.94,96.26
2016-01-22 00:00:00+00:00,98.5,106.96,98.38,101.42
2016-01-25 00:00:00+00:00,101.52,107.32,98.64,99.49
2016-01-26 00:00:00+00:00,99.92,100.88,98.07,99.99
2016-01-27 00:00:00+00:00,96.04,96.64,93.34,93.41
2016-01-28 00:00:00+00:00,93.82,99.45,92.39,94.08
2016-01-29 00:00:00+00:00,94.52,97.22,94.35,97.14
2016-02-01 00:00:00+00:00,96.47,96.71,95.4,96.4
2016-02-02 00:00:00+00:00,95.42,99.5,94.25,94.48
2016-02-03 00:00:00+00:00,95.0,96.84,94.08,96.34
2016-02-04 00:00:00+00:00,95.86,97.33,95.19,96.6
2016-02-05 00:00:00+00:00,96.49,96.92,93.69,94.01
2016-02-08 00:00:00+00:00,93.15,95.7,93.02,95.01
2016-02-09 00:00:00+00:00,94.29,95.94,93.93,95.02
2016-02-10 00:00:00+00:00,95.92,96.35,94.09,94.26
2016-02-11 00:00:00+00:00,93.75,94.69,92.59,93.66
2016-02-12 00:00:00+00:00,94.19,94.5,93.01,93.99
2016-02-16 00:00:00+00:00,94.96,96.85,94.61,96.62
2016-02-17 00:00:00+00:00,96.66,98.21,96.15,98.11
2016-02-18 00:00:00+00:00,98.84,98.89,96.09,96.26
